Kind Of Sample,Lab No,Cust No,Name,Company,Address 1,Address 2,City,State,Zip,Grower,Field ID,Sample ID,Date Recd,Date Rept,B Depth,E Depth,Past Crop,1:1 Soil pH,WDRF Buffer pH,1:1 S Salts mmho/cm,Excess Lime,Texture No,Organic Matter LOI %,Nitrate-N ppm N,lbs N/A,Bray P-1 ppm P,Olsen P ppm P,Potassium ppm K,Sulfate-S ppm S,Zinc ppm Zn,Iron ppm Fe,Manganese ppm Mn,Copper ppm Cu,Calcium ppm Ca,Magnesium ppm Mg,Sodium ppm Na,Boron ppm B,CEC/Sum of Cations me/100g,%H Sat,%K Sat,%Ca Sat,%Mg Sat,%Na Sat,2N KCl NO3-N ppm N,KCl NH4-N ppm,Aluminum ppm Al,Chloride ppm Cl,Bray P-2 ppm P,Mehlich P-II ppm P,Mehlich P-III ppm P,Salt pH,Salt Buffer pH,WB OM %,Total N ppm,Soil Moisture %,Total P ppm,Total Zn ppm,Nitrite-N ppm,% Sand,% Silt,% Clay,Texture,Paste % Sat,Paste pH,Paste EC mmho/cm,Paste HCO3 ppm,Paste Cl ppm,Paste Ca ppm,Paste Mg ppm,Paste Na ppm,Paste S ppm,Paste SAR,Crop 1,YG 1,Nitrogen Rec,P2O5 Rec,K2O Rec,Sulfur Rec,Zinc Rec,Magnesium Rec,Iron Rec,Manganese Rec,Copper Rec,Boron Rec,Lime Rec,Crop 2,YG 2,Nitrogen Rec,P2O5 Rec,K2O Rec,Sulfur Rec,Zinc Rec,Magnesium Rec,Iron Rec,Manganese Rec,Copper Rec,Boron Rec,Lime Rec,Crop 3,YG 3,Nitrogen Rec,P2O5 Rec,K2O Rec,Sulfur Rec,Zinc Rec,Magnesium Rec,Iron Rec,Manganese Rec,Copper Rec,Boron Rec,Lime Rec,Organic Carbon %,Water Soluble K,Total Carbon %,H2O NO3-N,Total Dry Weight,Total S,PSNT N/A,H2O Ca,Paste CO3 ppm,Phosphorus M3 ICAP ppm P,Potassium M3 ICAP ppm K,Sulfur M3 ICAP ppm S,Zinc M3 ICAP ppm Zn,Iron M3 ICAP ppm Fe,Manganese M3 ICAP ppm Mn,Copper M3 ICAP ppm Cu,Calcium M3 ICAP ppm Ca,Magnesium M3 ICAP ppm Mg,Sodium M3 ICAP ppm Na,Boron M3 ICAP ppm B,1N KCl NO3-N ppm N,KCl NH4-N ppm (Old),2N KCl NO3-N ppm N (Old),2N KCL NO3 Lbs-Acre,Ammonium Lbs-Acre,Aluminium M3 ICAP ppm Al,Organic C H2O ppm,Organic N H2O ppm,Organic C:N H2O,PSNT ppm N,Sikora pH,Sikora Buffer,Bulk Density,2:1 Soil pH,2:1 Soluble Salts,POX-C ppm C,Aggregate Stability 1-2mm %,Aggregate Stability 1-2mm in bulk soil %,Available Water g H2O g-1 soil,Available Water inch H2O inch-1 of soil,Total Available Water inches H2O sample-1,Field Capacity % (wt.),Permanent Wilting Point % (wt.,Total K ppm K,SAR %K Sat,Total C Concentration %,Total C lbs/Acre,Total N Concentration %,Total N lbs/Acre,Total C:N lbs/Acre Ratio,Total P Concentration %,Total P lbs/Acre,Total P2O5 Concentration %,Total P2O5 lbs/Acre,Total K Concentration %,Total K lbs/Acre,Total K2O Concentration %,Total K2O lbs/Acre,Total Ca Concentration %,Total Ca lbs/Acre,Total Mg Concentration %,Total Mg lbs/Acre,Total S Concentration %,Total S lbs/Acre,Total Zn Concentration ppm,Total Zn lbs/Acre,Total Fe Concentration ppm,Total Fe lbs/Acre,Total Mn Concentration ppm,Total Mn lbs/Acre,Total Cu Concentration ppm,Total Cu lbs/Acre,Total B Concentration ppm,Total B lbs/Acre,Total Mo Concentration ppm,Total Mo lbs/Acre,Total Ni ppm Ni,Total As ppm As,Total Cd ppm Cd,Total Pb ppm Pb,Rocks grams,Roots grams,Total Cr ppm Cr,Total Co ppm Co,Total Se ppm Se,Total Mo ppm Mo,H2O NH4-N,Sample Density g/cc,Molybdenum Hot Water ppm Mo,H2O P,Texture By Feel,Comprehensive Bulk Density,H3A K,CO2 Soil Respiration,Rock Volume cm3,Rock Density g/cm3,Ace Protein g/Kg,Water Stable Aggregates (Mod),KCL FIA Bromide ppm Br,Cadmium DTPA ppm Cd,Calcium by Displacement ppm Ca,Sodium by Displacement ppm Na,Magnesium by Displacement ppm,Potassium by Displacement ppm,ESP %,Total N H2O ppm N,H3A Nitrate-N ppm NO3-N,H3A Ammonium-N ppm NH4-N,H3A Phosphate-P ppm PO4-P,H3A Phosphorus ppm P,H3A Sulfur ppm S,H3A Zinc ppm Zn,H3A Iron ppm Fe,H3A Manganese ppm Mn,H3A Copper ppm Cu,H3A Calcium ppm Ca,H3A Magnesium ppm Mg,H3A Sodium ppm Na,H3A Aluminum ppm Al,Cobalt DTPA ppm Co,Soil Health Score,Ammonium Lbs/Acre,NO3-N Lbs/Acre,N.A. me/100g,Organic C : Organic N,Organic Nitrogen ppm N,Inorganic Nitrogen ppm N,Organic Phosphorus ppm P,Microbially Active Carbon (%MA,Organic Nitrogen Release ppm N,Organic Nitrogen Reserve ppm N,Calcium Carbonate %,,,,,
S,611351,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C1-C,10/05/2022,10/07/2022,0,8,All Other Crops,5.3,5.6,0.13,NONE,2,6.2,1.6,4,,7.7,251,9.7,2.57,324.5,18.2,1.35,784,402,69,,21.8,62,3,18,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611352,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C1-I,10/05/2022,10/07/2022,0,8,All Other Crops,5.4,5.7,0.14,NONE,2,6.8,1.6,4,,7.9,291,9.7,2.77,381.8,21,0.88,838,424,78,,22.3,61,3,18,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611353,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C1-S,10/05/2022,10/07/2022,0,8,All Other Crops,5.4,5.5,0.11,NONE,2,6.8,0.9,2,,7.4,310,9.4,2.55,321.5,17,1.04,778,430,78,,23.4,63,3,17,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611354,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C2-C,10/05/2022,10/07/2022,0,8,All Other Crops,5.5,5.7,0.11,NONE,2,6,2.7,6,,7.9,344,9.2,2.83,302.8,21,0.97,879,406,66,,22.3,60,4,20,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611355,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C2-I,10/05/2022,10/07/2022,0,8,All Other Crops,5.4,5.6,0.14,NONE,2,6.9,1.9,5,,8,317,11.7,3.62,314.4,23.8,0.76,815,372,66,,21.9,62,4,19,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611356,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C2-S,10/05/2022,10/07/2022,0,8,All Other Crops,5.5,5.7,0.13,NONE,2,6.4,0.7,2,,7.5,298,9.9,6.05,309.3,19.3,1.01,825,381,72,,21.6,61,4,19,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611357,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C3-C,10/05/2022,10/07/2022,0,8,All Other Crops,5.5,5.8,0.11,NONE,2,5.4,1.2,3,,8.5,354,9.4,2.57,215.2,31.6,1.09,799,341,63,,19.8,60,5,20,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611358,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C3-I,10/05/2022,10/07/2022,0,8,All Other Crops,5.5,5.8,0.15,NONE,2,5.9,1.6,4,,9.3,437,9.4,2.57,269.6,33.1,0.83,755,340,66,,20.4,61,5,18,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611359,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C3-S,10/05/2022,10/07/2022,0,8,All Other Crops,5.6,5.8,0.14,NONE,2,5.9,1.9,5,,7.5,294,8.3,2.87,282,24.4,1.07,865,416,73,,21.2,58,4,20,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611360,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C4-C,10/05/2022,10/07/2022,0,8,All Other Crops,5.6,6,0.1,NONE,2,5.2,1.2,3,,7.5,257,8.9,2.04,264.4,27.3,0.93,751,362,70,,17.5,56,4,21,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611361,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C4-I,10/05/2022,10/07/2022,0,8,All Other Crops,5.6,5.9,0.06,NONE,2,5.4,1.9,4,,7.1,245,8.6,2.1,271,25.6,1.08,777,387,58,,19.2,58,3,20,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611362,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C4-S,10/05/2022,10/07/2022,0,8,All Other Crops,5.6,5.9,0.09,NONE,2,6.6,4.3,10,,8.4,308,9.6,2.37,258.3,25.8,0.93,782,374,64,,19.5,58,4,20,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611363,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C5-C,10/05/2022,10/07/2022,0,8,All Other Crops,5.4,5.9,0.21,NONE,2,6.2,2,5,,8,457,14.1,2.25,170.4,42,0.97,841,417,101,,20.2,54,6,21,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611364,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C5-I,10/05/2022,10/07/2022,0,8,All Other Crops,5.7,6,0.09,NONE,2,5.3,2.6,6,,8.2,317,9.3,2.09,149.5,22.2,0.96,889,474,65,,19.6,52,4,23,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611365,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,C5-S,10/05/2022,10/07/2022,0,8,All Other Crops,5.6,5.8,0.09,NONE,2,4.9,1.7,4,,9.1,274,10.4,1.94,183.2,21.5,0.87,835,443,67,,20.4,56,3,21,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611336,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T1-C,10/05/2022,10/07/2022,0,8,All Other Crops,5.7,5.7,0.19,NONE,2,6.7,1.4,3,,7.8,304,10.9,2.71,269.6,14,0.9,845,401,63,,22,61,4,19,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611337,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T1-I,10/05/2022,10/07/2022,0,8,All Other Crops,5.7,5.7,0.19,NONE,2,6.3,1.8,4,,8.5,278,9.7,2.07,250.9,11.7,0.88,873,420,78,,22.1,60,3,19,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611338,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T1-S,10/05/2022,10/07/2022,0,8,All Other Crops,5.7,5.8,0.2,NONE,2,6.6,2.1,5,,9.1,366,10.2,2.85,200.1,13.4,0.69,938,455,74,,21.3,54,4,22,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611339,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T2-C,10/05/2022,10/07/2022,0,8,All Other Crops,5.7,5.7,0.17,NONE,2,6.4,2.2,5,,7.8,310,10.3,2.57,324.2,16.2,0.85,878,403,73,,22.1,60,4,20,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611340,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T2-I,10/05/2022,10/07/2022,0,8,All Other Crops,5.5,5.8,0.24,NONE,2,5.8,4,10,,7.7,323,14.6,2.04,271.5,21.9,0.86,757,329,56,,20,62,4,19,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611341,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T2-S,10/05/2022,10/07/2022,0,8,All Other Crops,5.4,5.6,0.19,NONE,2,5.9,1.8,4,,7.7,303,11.6,2.32,220.9,18.8,0.73,744,320,58,,21.9,66,4,17,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611342,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T3-C,10/05/2022,10/07/2022,0,8,All Other Crops,5.6,5.8,0.2,NONE,2,6,1.2,3,,7.3,242,8.9,2.19,265.3,17.9,0.8,765,400,74,,20.1,60,3,18,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611343,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T3-I,10/05/2022,10/07/2022,0,8,All Other Crops,5.6,6,0.16,NONE,2,5.7,2.7,6,,6.9,284,8.8,2.45,288.7,19.8,0.9,852,384,76,,18.3,54,4,23,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611344,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T3-S,10/05/2022,10/07/2022,0,8,All Other Crops,5.5,6,0.2,NONE,2,6,4.9,12,,8.3,336,13.2,2.76,312.9,35.7,0.99,868,366,70,,18.4,53,5,23,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
