Kind Of Sample,Lab No,Cust No,Name,Company,Address 1,Address 2,City,State,Zip,Grower,Field ID,Sample ID,Date Recd,Date Rept,B Depth,E Depth,Past Crop,1:1 Soil pH,WDRF Buffer pH,1:1 S Salts mmho/cm,Excess Lime,Texture No,Organic Matter LOI %,Nitrate-N ppm N,lbs N/A,Bray P-1 ppm P,Olsen P ppm P,Potassium ppm K,Sulfate-S ppm S,Zinc ppm Zn,Iron ppm Fe,Manganese ppm Mn,Copper ppm Cu,Calcium ppm Ca,Magnesium ppm Mg,Sodium ppm Na,Boron ppm B,CEC/Sum of Cations me/100g,%H Sat,%K Sat,%Ca Sat,%Mg Sat,%Na Sat,2N KCl NO3-N ppm N,KCl NH4-N ppm,Aluminum ppm Al,Chloride ppm Cl,Bray P-2 ppm P,Mehlich P-II ppm P,Mehlich P-III ppm P,Salt pH,Salt Buffer pH,WB OM %,Total N ppm,Soil Moisture %,Total P ppm,Total Zn ppm,Nitrite-N ppm,% Sand,% Silt,% Clay,Texture,Paste % Sat,Paste pH,Paste EC mmho/cm,Paste HCO3 ppm,Paste Cl ppm,Paste Ca ppm,Paste Mg ppm,Paste Na ppm,Paste S ppm,Paste SAR,Crop 1,YG 1,Nitrogen Rec,P2O5 Rec,K2O Rec,Sulfur Rec,Zinc Rec,Magnesium Rec,Iron Rec,Manganese Rec,Copper Rec,Boron Rec,Lime Rec,Crop 2,YG 2,Nitrogen Rec,P2O5 Rec,K2O Rec,Sulfur Rec,Zinc Rec,Magnesium Rec,Iron Rec,Manganese Rec,Copper Rec,Boron Rec,Lime Rec,Crop 3,YG 3,Nitrogen Rec,P2O5 Rec,K2O Rec,Sulfur Rec,Zinc Rec,Magnesium Rec,Iron Rec,Manganese Rec,Copper Rec,Boron Rec,Lime Rec,Organic Carbon %,Water Soluble K,Total Carbon %,H2O NO3-N,Total Dry Weight,Total S,PSNT N/A,H2O Ca,Paste CO3 ppm,Phosphorus M3 ICAP ppm P,Potassium M3 ICAP ppm K,Sulfur M3 ICAP ppm S,Zinc M3 ICAP ppm Zn,Iron M3 ICAP ppm Fe,Manganese M3 ICAP ppm Mn,Copper M3 ICAP ppm Cu,Calcium M3 ICAP ppm Ca,Magnesium M3 ICAP ppm Mg,Sodium M3 ICAP ppm Na,Boron M3 ICAP ppm B,1N KCl NO3-N ppm N,KCl NH4-N ppm (Old),2N KCl NO3-N ppm N (Old),2N KCL NO3 Lbs-Acre,Ammonium Lbs-Acre,Aluminium M3 ICAP ppm Al,Organic C H2O ppm,Organic N H2O ppm,Organic C:N H2O,PSNT ppm N,Sikora pH,Sikora Buffer,Bulk Density,2:1 Soil pH,2:1 Soluble Salts,POX-C ppm C,Aggregate Stability 1-2mm %,Aggregate Stability 1-2mm in bulk soil %,Available Water g H2O g-1 soil,Available Water inch H2O inch-1 of soil,Total Available Water inches H2O sample-1,Field Capacity % (wt.),Permanent Wilting Point % (wt.,Total K ppm K,SAR %K Sat,Total C Concentration %,Total C lbs/Acre,Total N Concentration %,Total N lbs/Acre,Total C:N lbs/Acre Ratio,Total P Concentration %,Total P lbs/Acre,Total P2O5 Concentration %,Total P2O5 lbs/Acre,Total K Concentration %,Total K lbs/Acre,Total K2O Concentration %,Total K2O lbs/Acre,Total Ca Concentration %,Total Ca lbs/Acre,Total Mg Concentration %,Total Mg lbs/Acre,Total S Concentration %,Total S lbs/Acre,Total Zn Concentration ppm,Total Zn lbs/Acre,Total Fe Concentration ppm,Total Fe lbs/Acre,Total Mn Concentration ppm,Total Mn lbs/Acre,Total Cu Concentration ppm,Total Cu lbs/Acre,Total B Concentration ppm,Total B lbs/Acre,Total Mo Concentration ppm,Total Mo lbs/Acre,Total Ni ppm Ni,Total As ppm As,Total Cd ppm Cd,Total Pb ppm Pb,Rocks grams,Roots grams,Total Cr ppm Cr,Total Co ppm Co,Total Se ppm Se,Total Mo ppm Mo,H2O NH4-N,Sample Density g/cc,Molybdenum Hot Water ppm Mo,H2O P,Texture By Feel,Comprehensive Bulk Density,H3A K,CO2 Soil Respiration,Rock Volume cm3,Rock Density g/cm3,Ace Protein g/Kg,Water Stable Aggregates (Mod),KCL FIA Bromide ppm Br,Cadmium DTPA ppm Cd,Calcium by Displacement ppm Ca,Sodium by Displacement ppm Na,Magnesium by Displacement ppm,Potassium by Displacement ppm,ESP %,Total N H2O ppm N,H3A Nitrate-N ppm NO3-N,H3A Ammonium-N ppm NH4-N,H3A Phosphate-P ppm PO4-P,H3A Phosphorus ppm P,H3A Sulfur ppm S,H3A Zinc ppm Zn,H3A Iron ppm Fe,H3A Manganese ppm Mn,H3A Copper ppm Cu,H3A Calcium ppm Ca,H3A Magnesium ppm Mg,H3A Sodium ppm Na,H3A Aluminum ppm Al,Cobalt DTPA ppm Co,Soil Health Score,Ammonium Lbs/Acre,NO3-N Lbs/Acre,N.A. me/100g,Organic C : Organic N,Organic Nitrogen ppm N,Inorganic Nitrogen ppm N,Organic Phosphorus ppm P,Microbially Active Carbon (%MA,Organic Nitrogen Release ppm N,Organic Nitrogen Reserve ppm N,Calcium Carbonate %,,,,,
S,611345,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T4-C,10/05/2022,10/07/2022,0,8,All Other Crops,5.6,5.9,0.16,NONE,2,5.4,3.1,7,,6.9,352,8.6,2.03,249.7,26.2,0.85,862,355,66,,19.5,57,5,22,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611346,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T4-I,10/05/2022,10/07/2022,0,8,All Other Crops,5.7,6,0.16,NONE,2,5.5,0.8,2,,6.4,256,8.1,1.84,262.2,24.5,0.85,815,334,65,,18,57,4,22,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611347,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T4-S,10/05/2022,10/07/2022,0,8,All Other Crops,5.7,6.1,0.15,NONE,2,5.1,1.3,3,,7.2,245,7.2,1.92,257.6,23.7,1.03,802,347,60,,16.9,54,4,23,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611348,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T5-C,10/05/2022,10/07/2022,0,8,All Other Crops,5.5,6.2,0.16,NONE,2,5,1.4,3,,7.2,240,7.5,1.8,222.7,34.7,0.76,818,382,62,,16.4,50,4,25,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611349,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T5-I,10/05/2022,10/07/2022,0,8,All Other Crops,5.7,6.2,0.15,NONE,2,5,1.3,3,,6.4,239,7,2.56,215.4,27.1,1.13,902,405,78,,17.1,48,4,26,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,611350,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKREF,SS BALE GRAZE,T5-S,10/05/2022,10/07/2022,0,8,All Other Crops,5.6,6.1,0.15,NONE,2,4.5,0.9,2,,6.6,210,8.1,1.89,204.8,26.6,1.06,780,358,64,,16.7,54,3,23,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607773,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C1-C,06/08/2023,06/12/2023,0,8,All Other Crops,5.4,5.8,0.17,NONE,2,6,1.1,3,,6.6,219,10,2.25,280.4,47.9,0.96,754,355,46,0.74,19.5,62,3,19,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607774,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C1-I,06/08/2023,06/12/2023,0,8,All Other Crops,5.6,5.7,0.17,NONE,2,5.8,0.6,1,,7,249,8.3,1.78,337.6,15.1,1.47,754,406,66,0.46,20.8,61,3,18,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607775,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C1-S,06/08/2023,06/12/2023,0,8,All Other Crops,5.6,5.8,0.16,NONE,2,6.7,1.1,3,,7.7,360,9.4,2.55,240.3,17.9,0.9,843,444,69,0.58,20.6,56,4,20,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607776,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C2-C,06/08/2023,06/12/2023,0,8,All Other Crops,5.6,5.8,0.16,NONE,2,5.9,0.7,2,,7.5,290,9.6,2.09,380.9,20.6,0.7,736,344,53,0.48,19,60,4,19,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607777,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C2-I,06/08/2023,06/12/2023,0,8,All Other Crops,5.5,5.9,0.16,NONE,2,6,< 0.1,0,,7.1,314,8.6,2.96,280.7,22.1,1.16,880,410,61,0.53,20.1,56,4,22,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607778,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C2-S,06/08/2023,06/12/2023,0,8,All Other Crops,5.4,5.7,0.16,NONE,2,5.8,0.4,1,,7.2,244,10,2.96,317,23.6,1.03,738,346,59,0.44,20.1,63,3,18,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607779,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C3-C,06/08/2023,06/12/2023,0,8,All Other Crops,5.6,6,0.17,NONE,2,6.3,1,2,,7.3,456,8.9,2.63,191.9,27,1.02,953,460,61,0.5,20.2,50,6,24,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607780,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C3-I,06/08/2023,06/12/2023,0,8,All Other Crops,5.6,6,0.15,NONE,2,5.5,1,2,,7,393,9,2.2,232.6,26.8,0.88,875,386,56,0.46,19.2,54,5,23,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607781,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C3-S,06/08/2023,06/12/2023,0,8,All Other Crops,5.6,5.9,0.16,NONE,2,5.4,< 0.1,0,,6.4,410,10.5,2.16,232.2,24.5,0.86,894,418,59,0.54,20.1,54,5,22,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607782,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C4-C,06/08/2023,06/12/2023,0,8,All Other Crops,5.6,5.9,0.15,NONE,2,5.1,0.1,0,,6.3,357,8.4,1.56,223.1,28.1,1.09,965,437,64,0.46,20.7,53,4,23,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607783,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C4-I,06/08/2023,06/12/2023,0,8,All Other Crops,5.5,5.9,0.14,NONE,2,5.2,0.3,1,,6.7,221,8.3,1.72,265.5,24.9,1.02,836,434,57,0.38,19.6,56,3,21,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607784,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C4-S,06/08/2023,06/12/2023,0,8,All Other Crops,5.6,5.9,0.15,NONE,2,5.1,< 0.1,0,,6.7,299,6.9,1.66,247.5,22.8,0.85,826,424,55,0.39,19.5,55,4,21,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607785,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C5-C,06/08/2023,06/12/2023,0,8,All Other Crops,5.7,6.1,0.14,NONE,2,5.2,0.2,1,,7.6,385,10.4,1.63,141.1,27.7,1.05,906,437,56,0.44,18.9,50,5,24,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607786,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C5-I,06/08/2023,06/12/2023,0,8,All Other Crops,5.6,5.9,0.14,NONE,2,5,0.2,1,,6.5,289,9.4,1.48,149,25.6,0.91,795,423,55,0.42,19.1,56,4,21,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607787,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,C5-S,06/08/2023,06/12/2023,0,8,All Other Crops,5.6,6,0.15,NONE,2,4.9,0.4,1,,6.2,221,6.8,1.3,183.7,20.3,0.79,792,429,69,0.43,18.2,54,3,21,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607788,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,T1-C,06/08/2023,06/12/2023,0,8,All Other Crops,5.6,5.7,0.15,NONE,2,6.6,0.2,0,,7.3,539,11.8,2.05,247.7,14.1,0.74,1002,494,66,0.84,23.8,55,6,21,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607790,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,T1-C,06/08/2023,06/12/2023,0,8,All Other Crops,5.7,5.7,0.17,NONE,2,6.4,0.6,2,,8.3,555,12,1.86,207,14.9,0.76,979,469,75,0.9,23.3,55,6,21,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607789,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,T1-I,06/08/2023,06/12/2023,0,8,All Other Crops,5.6,5.7,0.17,NONE,2,6.7,1.2,3,,10.6,467,10.9,2.06,237.6,17.2,0.78,823,440,64,1.17,22,58,5,19,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607791,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,T2-C,06/08/2023,06/12/2023,0,8,All Other Crops,5.7,5.8,0.16,NONE,2,7.2,1.8,4,,12,606,14.9,2.47,287.8,25.5,0.76,965,424,70,1.18,22.1,54,7,22,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607792,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,T2-I,06/08/2023,06/12/2023,0,8,All Other Crops,5.7,5.8,0.16,NONE,2,6.5,4.5,11,,8.9,538,14.2,2.04,248.2,19.9,0.69,837,378,70,0.95,21.1,57,7,20,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607793,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,T2-S,06/08/2023,06/12/2023,0,8,All Other Crops,5.6,5.8,0.17,NONE,2,6.8,2.7,7,,8.4,484,12.6,2.65,197.5,18.9,0.74,848,360,79,0.93,21,58,6,20,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607794,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,T3-C,06/08/2023,06/12/2023,0,8,All Other Crops,5.8,6,0.17,NONE,2,6.1,4.3,10,,11.4,465,12.7,2.4,284.9,22.5,1,886,434,69,1.2,19.7,52,6,22,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607795,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,T3-I,06/08/2023,06/12/2023,0,8,All Other Crops,5.9,5.9,0.16,NONE,2,7.2,6.6,16,,10.1,569,12.6,3.28,336.4,29.3,1.05,927,401,88,1.34,20.5,52,7,23,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607796,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,T3-S,06/08/2023,06/12/2023,0,8,All Other Crops,5.7,6,0.16,NONE,2,5.6,1.5,4,,7.5,380,11.3,1.81,283.6,23.4,0.91,869,395,74,0.85,19.3,54,5,22,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607797,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,T4-C,06/08/2023,06/12/2023,0,8,All Other Crops,5.8,6,0.17,NONE,2,6.1,1,2,,7.5,412,11.2,2.05,212.9,24.3,0.8,1404,407,78,0.92,22,46,5,32,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607798,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,T4-I,06/08/2023,06/12/2023,0,8,All Other Crops,5.7,5.9,0.17,NONE,2,5.3,0.3,1,,8.6,413,10.1,1.76,253.7,28.7,0.85,786,325,54,0.86,18.6,57,6,21,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,607799,25189,,TOMKAT RANCH EDUCATIONAL FOUND,PO BOX 726,,PESCADERO,CA,94060-0726,TKR,SS BALE GRAZE,T4-S,06/08/2023,06/12/2023,0,8,All Other Crops,5.7,6.1,0.15,NONE,2,5.3,0.5,1,,8.8,424,10.8,1.69,277.3,27.7,1.01,796,347,51,0.84,17.7,54,6,23,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
